index,var,beta_clock2,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
687,cg23089474,0.358361489808373,5,142357056,SPRY4-AS1,SPRY4,101926941,mapped to different gene in human and mouse,SPRY4-AS1_Intron,"Intron (ENST00000510311.5/101926941, intron 3 of 3)",18,38631673.0,Spry4
186,cg06878766,0.33664766390913,8,56210721,PLAG1,PLAG1,5324,conserved gene and region in mouse and human,PLAG1_Promoter,Promoter (<=1kb),4,3937818.0,Plag1
729,cg24866418,0.312536745409854,3,9552398,LHFPL4,LHFPL4,375323,conserved gene and region in mouse and human,LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113193942.0,Lhfpl4
146,cg05551621,0.310352634257156,1,63323562,FOXD3-AS1,FOXD3,100996301,"mapped in human, not mapped in mouse",FOXD3-AS1_Exon,Promoter (<=1kb),,,
252,cg09200783,0.307782123700394,14,56590439,TMEM260,TMEM260,54916,conserved gene and region in mouse and human,TMEM260_Intron,"Intron (ENST00000556422.5/54916, intron 3 of 14)",14,48456488.0,Tmem260
383,cg13058338,0.302281469151606,12,54173598,SMUG1,SMUG1,23583,mapped to different gene in human and mouse,SMUG1_Intron,"Intron (ENST00000635234.1/23583, intron 2 of 4)",15,103146996.0,Smug1
685,cg23087015,0.294324742347268,15,72319625,CELF6,CELF6,60677,"mapped in human, not mapped in mouse",CELF6_threeUTR,Promoter (<=1kb),9,59578626.0,Celf6
407,cg13916600,0.284185934753617,17,81395342,BAHCC1,BAHCC1,57597,conserved gene and region in mouse and human,BAHCC1_Promoter,Promoter (<=1kb),11,120232814.0,Bahcc1
32,cg01150494,0.262796867307068,12,119718845,CIT,CIT,11113,conserved gene but different region in human and mouse,CIT_Exon,"Exon (ENST00000261833.11/11113, exon 30 of 47)",5,115981665.0,Cit
308,cg11084334,0.260997205640501,3,9552580,LHFPL4,LHFPL4,375323,"mapped in human, not mapped in mouse",LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113194124.0,Lhfpl4
14,cg00489428,0.259347447500219,17,28759267,FAM222B,FAM222B,55731,"mapped in human, not mapped in mouse",FAM222B_threeUTR,3' UTR,11,78154305.0,Fam222b
615,cg20370622,0.250081581322736,4,41748222,PHOX2B,PHOX2B,8929,conserved gene and region in mouse and human,PHOX2B_Promoter,Promoter (<=1kb),5,67098553.0,Phox2b
49,cg01594275,0.247994017343656,22,41160539,EP300,EP300,2033,conserved gene and region in mouse and human,EP300_Intron,"Intron (ENST00000263253.9/2033, intron 19 of 30)",15,81633901.0,Ep300
317,cg11275232,0.232830979748722,14,66985695,GPHN,GPHN,10243,conserved gene and region in mouse and human,GPHN_Exon,"Exon (ENST00000543237.5/10243, exon 10 of 25)",12,78522911.0,Gphn
450,cg15168457,0.230283184697931,12,111516347,ATXN2,ATXN2,6311,conserved gene and region in mouse and human,ATXN2_Exon,"Exon (ENST00000642389.2/6311, exon 10 of 27)",5,121781348.0,Atxn2
711,cg23985931,0.220942669581645,13,78594976,OBI1-AS1,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378.0,Pou4f1
813,cg27430422,0.211649229902328,17,35824152,TAF15,TAF15,8148,conserved gene and region in mouse and human,TAF15_Exon,"Exon (ENST00000604879.5/8148, exon 7 of 10)",11,83488999.0,Taf15
199,cg07332354,0.210602176864326,5,88883996,MEF2C-AS1,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Promoter,Promoter (<=1kb),13,83524027.0,Mef2c
243,cg08938156,0.210579727358925,3,147409417,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365746.0,Zic1
215,cg07991826,0.210256274092165,1,155268734,CLK2,CLK2,1196,mapped to different gene in human and mouse,CLK2_Exon,"Exon (ENST00000361168.9/1196, exon 4 of 13)",3,89169627.0,Clk2
337,cg11904056,0.21008382585873,5,93583204,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Intron,"Intron (ENST00000659336.1/441094, intron 1 of 4)",13,78200408.0,Nr2f1
545,cg18304538,0.209153011970933,5,77852294,TBCA,TBCA,6902,conserved gene and region in mouse and human,TBCA_Intron,"Intron (ENST00000522370.1/6902, intron 1 of 3)",13,94702400.0,Gm48316
791,cg26844246,0.208010478957304,5,171309273,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_fiveUTR,Promoter (<=1kb),11,33203551.0,Tlx3
771,cg26067250,0.202248113738094,2,172085721,DLX1,DLX1,1745,mapped to different gene in human and mouse,DLX1_Exon,Promoter (<=1kb),2,71530037.0,Dlx1
588,cg19604874,0.201724220325045,4,30920159,PCDH7,PCDH7,5099,conserved gene but different region in human and mouse,PCDH7_Exon,"Exon (ENST00000511884.6/5099, exon 2 of 3)",5,57913162.0,Pcdh7
333,cg11728741,0.201558694171203,8,41896469,ANK1,ANK1,286,conserved gene and region in mouse and human,ANK1_Exon,Promoter (<=1kb),8,22975146.0,Ank1
348,cg12373771,0.199846017070659,22,17120491,TMEM121B,TMEM121B,27439,"mapped in human, not mapped in mouse",TMEM121B_Exon,Promoter (<=1kb),6,120493130.0,Tmem121b
571,cg19134574,0.195597875888091,15,44427655,CTDSPL2,CTDSPL2,51496,conserved gene and region in mouse and human,CTDSPL2_fiveUTR,Promoter (<=1kb),2,121956499.0,Ctdspl2
721,cg24504442,0.194803462813282,15,37099474,MEIS2,MEIS2,4212,conserved gene and region in mouse and human,MEIS2_fiveUTR,5' UTR,2,116064821.0,Meis2
60,cg02177464,0.192402722229318,2,159453749,BAZ2B,BAZ2B,29994,"mapped in human, not mapped in mouse",BAZ2B_Exon,"Exon (ENST00000392783.7/29994, exon 4 of 37)",2,59983918.0,Baz2b
269,cg09646392,0.189670078915879,13,108268704,TNFSF13B,TNFSF13B,10673,"mapped in human, not mapped in mouse",TNFSF13B_Promoter,Promoter (<=1kb),,,
210,cg07875786,0.182469108109961,5,93583221,NR2F1,NR2F1,7025,mapped to different gene in human and mouse,NR2F1_fiveUTR,Promoter (<=1kb),13,78200391.0,Nr2f1
752,cg25622623,0.180929739828,17,61399779,LOC101927855,TBX2,101927855,mapped to different gene in human and mouse,LOC101927855_Promoter,Promoter (<=1kb),11,85832704.0,Tbx2
725,cg24597392,0.180382832568401,22,35768289,RBFOX2,RBFOX2,23543,conserved gene and region in mouse and human,RBFOX2_Exon,"Exon (ENST00000405409.6/23543, exon 5 of 12)",15,77105657.0,Rbfox2
362,cg12685265,0.178520638674461,7,105015676,KMT2E,KMT2E,55904,conserved gene and region in mouse and human,KMT2E_Intron,"Intron (ENST00000257745.8/55904, intron 1 of 25)",5,23435902.0,Kmt2e
653,cg21907062,0.178163951876331,2,174081061,OLA1,OLA1,29789,conserved gene but different region in human and mouse,OLA1_Exon,"Exon (ENST00000462000.1/29789, exon 4 of 4)",2,73099201.0,Ola1
403,cg13802785,0.175239886990231,16,31186802,FUS,FUS,2521,conserved gene and region in mouse and human,FUS_Exon,"Exon (ENST00000254108.11/2521, exon 7 of 15)",7,127974400.0,Fus
633,cg21030623,0.1709198720524,13,99970165,ZIC5,ZIC5,85416,conserved gene and region in mouse and human,ZIC5_Exon,"Exon (ENST00000267294.4/85416, exon 1 of 2)",14,122463930.0,Zic5
119,cg04787747,0.170493799534567,21,33576435,DONSON,DONSON,29980,mapped to different gene in human and mouse,DONSON_threeUTR,3' UTR,16,91678171.0,Donson
656,cg22067905,0.167199442935669,2,43905631,LRPPRC,LRPPRC,10128,conserved gene and region in mouse and human,LRPPRC_Intron,"Intron (ENST00000260665.12/10128, intron 31 of 37)",17,84716566.0,Lrpprc
690,cg23148651,0.165415597713119,6,21593626,SOX4,SOX4,6659,conserved gene and region in mouse and human,SOX4_Promoter,Promoter (<=1kb),13,28953813.0,Sox4
617,cg20424997,0.165044824467179,16,58588863,CNOT1,CNOT1,23019,"mapped in human, not mapped in mouse",CNOT1_Exon,"Exon (ENST00000317147.10/23019, exon 3 of 49)",8,95775343.0,Cnot1
734,cg25047480,0.159832314277829,14,23095052,ACIN1,ACIN1,22985,conserved gene but different region in human and mouse,ACIN1_Exon,Promoter (<=1kb),14,54686546.0,1700123O20Rik
744,cg25278124,0.159114902711465,1,27552111,AHDC1,AHDC1,27245,conserved gene and region in mouse and human,AHDC1_Exon,"Exon (ENST00000247087.10/27245, exon 5 of 6)",4,133061453.0,Ahdc1
699,cg23415880,0.154549033373989,13,27792287,GSX1,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486.0,Gsx1
373,cg12879445,0.153740652770182,14,93431016,UNC79,UNC79,57578,conserved gene but different region in human and mouse,UNC79_fiveUTR,Promoter (<=1kb),12,102949588.0,Unc79
230,cg08538268,0.152393804635705,9,23765097,ELAVL2,ELAVL2,1993,conserved gene and region in mouse and human,ELAVL2_fiveUTR,5' UTR,4,91311661.0,Elavl2
67,cg02456804,0.151081425179359,1,166070621,FAM78B,FAM78B,149297,conserved gene and region in mouse and human,FAM78B_Exon,"Exon (ENST00000435676.2/149297, exon 2 of 3)",1,167078678.0,Fam78b
332,cg11700079,0.15026649068966,5,171310377,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_Exon,"Exon (ENST00000296921.6/30012, exon 2 of 3)",11,33202444.0,Tlx3
343,cg12289788,0.150183513563215,8,37206152,KCNU1,KCNU1,157855,mapped to different gene in human and mouse,KCNU1_Intergenic_downstream,Distal Intergenic,8,26488766.0,Gm50479
68,cg02532525,0.149617321274568,17,2050353,MIR212,MIR212,406994,mapped to different gene in human and mouse,MIR212_Exon,Promoter (<=1kb),11,75173399.0,Hic1
340,cg12156848,0.145222050523561,15,60677183,RORA,RORA,6095,conserved gene and region in mouse and human,RORA_Exon,"Exon (ENST00000551975.5/6095, exon 3 of 6)",9,69197556.0,Rora
118,cg04725401,0.144229417364394,11,65344604,DPF2,DPF2,5977,conserved gene and region in mouse and human,DPF2_Exon,"Exon (ENST00000530993.5/5977, exon 6 of 7)",19,5903747.0,Dpf2
271,cg09661817,0.144155241311063,16,68123120,NFATC3,NFATC3,4775,conserved gene and region in mouse and human,NFATC3_Exon,"Exon (ENST00000553077.5/4775, exon 2 of 9)",8,106079740.0,Nfatc3
618,cg20432508,0.137178143579727,5,66162474,SREK1,SREK1,140890,mapped to different gene in human and mouse,SREK1_threeUTR,3' UTR,13,103760533.0,Srek1
218,cg08040307,0.135160024019068,1,77633377,ZZZ3,ZZZ3,26009,conserved gene and region in mouse and human,ZZZ3_fiveUTR,5' UTR,3,152427304.0,Zzz3
402,cg13761591,0.134534113260497,15,62838857,TLN2,TLN2,83660,conserved gene and region in mouse and human,TLN2_Exon,"Exon (ENST00000561311.5/83660, exon 57 of 58)",9,67224099.0,Tln2
275,cg09817427,0.12980860733432,6,84764595,TBX18,TBX18,9096,"mapped in human, not mapped in mouse",TBX18_fiveUTR,Promoter (<=1kb),9,87731262.0,Tbx18
456,cg15340018,0.127472116584513,16,71756157,AP1G1,AP1G1,164,"mapped in human, not mapped in mouse",AP1G1_threeUTR,3' UTR,8,109843354.0,Ap1g1
427,cg14517144,0.126461345298958,10,68338663,HNRNPH3,HNRNPH3,3189,"mapped in human, not mapped in mouse",HNRNPH3_Exon,"Exon (ENST00000469172.5/3189, exon 2 of 8)",10,63018064.0,Hnrnph3
310,cg11128281,0.12417636329442,4,150599078,LRBA,LRBA,987,conserved gene but different region in human and mouse,LRBA_threeUTR,3' UTR,3,86532137.0,Lrba
353,cg12449245,0.124086525869747,14,72619953,DPF3,DPF3,8110,conserved gene and region in mouse and human,DPF3_Exon,"Exon (ENST00000556509.5/8110, exon 10 of 11)",12,83216378.0,Dpf3
696,cg23337318,0.123154135510732,1,61157563,NFIA,NFIA,4774,"mapped in human, not mapped in mouse",NFIA_Intron,"Intron (ENST00000371191.5/4774, intron 2 of 10)",4,97844974.0,Nfia
115,cg04680480,0.122538377249918,8,143429571,MAFA,MAFA,389692,conserved gene and region in mouse and human,MAFA_Exon,"Exon (ENST00000528185.1/ENST00000528185.1, exon 1 of 2)",15,75747069.0,Mafa
485,cg16356803,0.122298339069353,6,6006777,NRN1,NRN1,51299,conserved gene and region in mouse and human,NRN1_fiveUTR,Promoter (<=1kb),13,36734318.0,Nrn1
42,cg01429475,0.119481690758271,10,101451718,BTRC,BTRC,8945,conserved gene but different region in human and mouse,BTRC_Intron,"Intron (ENST00000393441.8/8945, intron 2 of 13)",19,45446662.0,Btrc
122,cg04889095,0.1168387669204,12,8773554,RIMKLB,RIMKLB,57494,conserved gene and region in mouse and human,RIMKLB_Exon,"Exon (ENST00000357529.7/57494, exon 7 of 7)",6,122456429.0,Rimklb
331,cg11690941,0.115009096506975,14,93474290,UNC79,UNC79,57578,conserved gene but different region in human and mouse,UNC79_fiveUTR,5' UTR,12,102998687.0,Unc79
361,cg12651099,0.113960561137713,1,110211650,KCNC4,KCNC4,3749,conserved gene and region in mouse and human,KCNC4_Exon,Promoter (<=1kb),3,107458739.0,Kcnc4
598,cg19912994,0.113125303585945,1,110211633,KCNC4,KCNC4,3749,conserved gene and region in mouse and human,KCNC4_Exon,Promoter (<=1kb),3,107458756.0,Kcnc4
371,cg12830057,0.111197139751473,3,69879222,MITF,MITF,4286,"mapped in human, not mapped in mouse",MITF_Exon,"Exon (ENST00000352241.8/4286, exon 2 of 10)",6,97941141.0,Mitf
100,cg03942000,0.110069982572748,9,128393488,MIR219A2,MIR219A2,407003,conserved gene but different region in human and mouse,MIR219A2_Exon,Promoter (<=1kb),2,29846471.0,Urm1
288,cg10439738,0.110012017196969,9,125542176,MAPKAP1,MAPKAP1,79109,conserved gene and region in mouse and human,MAPKAP1_Intron,"Intron (ENST00000373511.6/79109, intron 7 of 10)",2,34535014.0,Mapkap1
58,cg02040024,0.109016144279386,8,22691369,EGR3,EGR3,1960,"mapped in human, not mapped in mouse",EGR3_threeUTR,3' UTR,14,70079008.0,Egr3
530,cg17776554,0.108330273868235,16,73048252,ZFHX3,ZFHX3,463,conserved gene but different region in human and mouse,ZFHX3_Intron,"Intron (ENST00000397992.5/463, intron 1 of 8)",8,108714805.0,Zfhx3
495,cg16582309,0.108058328307613,16,24214762,PRKCB,PRKCB,5579,conserved gene and region in mouse and human,PRKCB_Exon,"Exon (ENST00000643927.1/5579, exon 17 of 17)",7,122627760.0,Prkcb
640,cg21351544,0.108055522727482,6,149369995,TAB2,TAB2,23118,conserved gene and region in mouse and human,TAB2_fiveUTR,5' UTR,10,7924788.0,Tab2
457,cg15343536,0.107842831746702,1,61152215,NFIA,NFIA,4774,conserved gene and region in mouse and human,NFIA_Intron,"Intron (ENST00000371191.5/4774, intron 2 of 10)",4,97840438.0,Nfia
315,cg11235379,0.107546722126677,2,161417813,TBR1,TBR1,10716,"mapped in human, not mapped in mouse",TBR1_Exon,"Exon (ENST00000389554.8/10716, exon 2 of 6)",2,61806111.0,Tbr1
382,cg13006563,0.106674583041862,4,93772112,GRID2,GRID2,2895,conserved gene and region in mouse and human,GRID2_Exon,"Exon (ENST00000282020.9/2895, exon 16 of 16)",6,64665893.0,Grid2
601,cg19981759,0.106598551340993,3,147409413,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365750.0,Zic1
17,cg00643485,0.10615046750423,2,55303112,CCDC88A,CCDC88A,55704,conserved gene but different region in human and mouse,CCDC88A_threeUTR,3' UTR,11,29497382.0,Ccdc88a
293,cg10609096,0.105603584943269,3,138245202,ARMC8,ARMC8,25852,conserved gene but different region in human and mouse,ARMC8_threeUTR,3' UTR,9,99520467.0,Armc8
506,cg16867657,0.103939540396192,6,11044644,ELOVL2-AS1,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,
595,cg19812206,0.103233243021554,16,72902223,ZFHX3,ZFHX3,463,conserved gene and region in mouse and human,ZFHX3_Intron,"Intron (ENST00000268489.10/463, intron 3 of 9)",8,108846572.0,Zfhx3
16,cg00593462,0.102285886070886,13,110116146,COL4A1,COL4A1,1282,"mapped in human, not mapped in mouse",COL4A1_Intron,"Intron (ENST00000670698.1/ENST00000670698.1, intron 1 of 1)",,,
701,cg23449696,0.10126726489043,3,147408155,LOC440982,ZIC1,440982,"mapped in human, not mapped in mouse",LOC440982_Intron,"Intron (ENST00000472523.1/440982, intron 1 of 1)",9,91367271.0,Zic4
577,cg19319735,0.0995611526655703,7,5423744,TNRC18,TNRC18,84629,conserved gene but different region in human and mouse,TNRC18_Intron,"Intron (ENST00000399434.2/84629, intron 1 of 2)",5,142817572.0,Tnrc18
328,cg11664765,0.098578016312573,4,182601068,TENM3,TENM3,55714,conserved gene but different region in human and mouse,TENM3_Exon,"Exon (ENST00000511685.6/55714, exon 4 of 28)",8,48417100.0,Tenm3
201,cg07423797,0.0980459533857293,22,43262719,SCUBE1,SCUBE1,80274,conserved gene and region in mouse and human,SCUBE1_Exon,"Exon (ENST00000360835.9/80274, exon 5 of 22)",15,83659025.0,Scube1
35,cg01224972,0.0956093573393333,6,108280569,AFG1L,AFG1L,246269,conserved gene but different region in human and mouse,AFG1L_Intergenic_upstream,Distal Intergenic,10,42487106.0,Afg1l
501,cg16745091,0.0944617878335672,2,121418657,CLASP1,CLASP1,23332,conserved gene and region in mouse and human,CLASP1_Exon,"Exon (ENST00000646274.1/23332, exon 22 of 39)",1,118532049.0,Clasp1
155,cg05801021,0.0941698563677716,10,49396212,DRGX,DRGX,644168,conserved gene and region in mouse and human,DRGX_Promoter,Promoter (<=1kb),14,32599268.0,Prrxl1
625,cg20635820,0.0934411183979368,11,85662429,CREBZF,CREBZF,58487,conserved gene and region in mouse and human,CREBZF_threeUTR,3' UTR,7,90445452.0,Crebzf
463,cg15471501,0.0923342426097758,20,21103492,LINC00237,KIZ,105372556,"mapped in human, not mapped in mouse",LINC00237_Intron,"Intron (ENST00000655093.1/105372556, intron 1 of 3)",2,146836821.0,Kiz
576,cg19296935,0.0900432438009147,7,50180223,ZPBP,SPATA48,11055,mapped to different gene in human and mouse,ZPBP_Intergenic_upstream,Distal Intergenic,11,11528304.0,Spata48
671,cg22432362,0.0873060494716862,1,87329763,LMO4,LMO4,8543,conserved gene and region in mouse and human,LMO4_Promoter,Promoter (<=1kb),3,144204322.0,Lmo4
593,cg19711579,0.0868193193271454,2,181680835,NEUROD1,NEUROD1,4760,mapped to different gene in human and mouse,NEUROD1_fiveUTR,Promoter (<=1kb),2,79456940.0,Cerkl
360,cg12642246,0.0858367477146501,17,47982387,CDK5RAP3,CDK5RAP3,80279,conserved gene but different region in human and mouse,CDK5RAP3_Intron,"Intron (ENST00000578239.1/ENST00000578239.1, intron 1 of 1)",11,96907193.0,Cdk5rap3
514,cg17267107,0.0851233199393033,1,10669966,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 4 of 20)",4,148924608.0,Casz1
589,cg19614548,0.0838995113202372,9,12775767,LURAP1L-AS1,LURAP1L,101929467,mapped to different gene in human and mouse,LURAP1L-AS1_Exon,"Exon (ENST00000319264.4/286343, exon 1 of 2)",4,80911406.0,Lurap1l
41,cg01409964,0.0833110029774131,13,78998527,LINC00331,LINC00331,100874126,"mapped in human, not mapped in mouse",LINC00331_Intergenic_upstream,Distal Intergenic,14,104834630.0,Gm5671
167,cg06156376,0.0802138754290149,3,158106025,RSRC1,SHOX2,51319,mapped to different gene in human and mouse,RSRC1_fiveUTR,Promoter (<=1kb),3,66981557.0,Rsrc1
410,cg13953571,0.0797197907727984,15,70099807,TLE3,TLE3,7090,conserved gene and region in mouse and human,TLE3_Promoter,Promoter (1-2kb),9,61370524.0,Tle3
21,cg00864083,0.0790414971911399,1,42205807,FOXJ3,FOXJ3,22887,conserved gene and region in mouse and human,FOXJ3_Exon,"Exon (ENST00000372572.5/22887, exon 8 of 15)",4,119610045.0,Foxj3
204,cg07547549,0.0777400524527002,20,46029586,SLC12A5,SLC12A5,57468,"mapped in human, not mapped in mouse",SLC12A5_Intron,"Intron (ENST00000454036.6/57468, intron 1 of 25)",,,
776,cg26260350,0.0775956904277537,2,63050797,OTX1,OTX1,5013,conserved gene and region in mouse and human,OTX1_Exon,Promoter (<=1kb),11,22001647.0,Otx1
327,cg11614630,0.0774607085971755,6,170293823,DLL1,DLL1,28514,conserved gene but different region in human and mouse,DLL1_Intron,"Intron (ENST00000630384.2/84498, intron 1 of 10)",17,15378809.0,Dll1
370,cg12818872,0.0771603404942117,2,43905666,LRPPRC,LRPPRC,10128,"mapped in human, not mapped in mouse",LRPPRC_Intron,"Intron (ENST00000260665.12/10128, intron 31 of 37)",17,84716601.0,Lrpprc
660,cg22144210,0.0760982709076399,17,57679579,MSI2,MSI2,124540,conserved gene and region in mouse and human,MSI2_threeUTR,3' UTR,11,88344629.0,Msi2
741,cg25195795,0.0760874659416187,10,21518323,SKIDA1,SKIDA1,387640,mapped to different gene in human and mouse,SKIDA1_fiveUTR,5' UTR,2,18048863.0,Skida1
388,cg13160087,0.0760548871369279,6,98455100,POU3F2,POU3F2,5454,mapped to different gene in human and mouse,POU3F2_Intergenic_upstream,Distal Intergenic,4,23050906.0,Gm11879
386,cg13151063,0.0760466786858271,5,140440165,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3,404734,conserved gene but different region in human and mouse,ANKHD1-EIF4EBP3_fiveUTR,5' UTR,18,36581114.0,Ankhd1
40,cg01337143,0.074801860106462,3,122926542,SEMA5B,SEMA5B,54437,conserved gene and region in mouse and human,SEMA5B_Exon,"Exon (ENST00000357599.8/54437, exon 9 of 23)",16,35647178.0,Sema5b
718,cg24393114,0.0738442730761708,13,42720528,FAM216B,FAM216B,144809,mapped to different gene in human and mouse,FAM216B_Intergenic_upstream,Distal Intergenic,14,78159796.0,Gm48959
648,cg21617338,0.0738293253161949,5,88884021,MEF2C-AS1,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Promoter,Promoter (<=1kb),13,83524002.0,Mef2c
153,cg05704605,0.0729251711831239,20,47238916,ZMYND8,ZMYND8,23613,"mapped in human, not mapped in mouse",ZMYND8_Exon,"Exon (ENST00000311275.11/23613, exon 15 of 22)",2,165807695.0,Zmynd8
368,cg12813831,0.072547899333723,8,59657932,LOC100505501,TOX,100505501,mapped to different gene in human and mouse,LOC100505501_Intergenic_downstream,Distal Intergenic,4,7596412.0,Gm11794
730,cg24924928,0.0722777471902098,17,29286101,NUFIP2,NUFIP2,57532,conserved gene and region in mouse and human,NUFIP2_Exon,"Exon (ENST00000225388.9/57532, exon 2 of 4)",11,77693144.0,Nufip2
281,cg10186512,0.0713972822317769,9,125546052,MAPKAP1,MAPKAP1,79109,conserved gene and region in mouse and human,MAPKAP1_Intron,"Intron (ENST00000373511.6/79109, intron 6 of 10)",2,34531263.0,Mapkap1
375,cg12896068,0.0691440071644886,15,67748056,MAP2K5,MAP2K5,5607,conserved gene and region in mouse and human,MAP2K5_Intron,"Intron (ENST00000178640.10/5607, intron 17 of 21)",9,63217539.0,Map2k5
276,cg09989727,0.0680120349218137,15,57252447,TCF12,TCF12,6938,conserved gene and region in mouse and human,TCF12_Exon,"Exon (ENST00000438423.6/6938, exon 15 of 21)",9,71869043.0,Tcf12
63,cg02284095,0.0673071417025653,6,36600231,SRSF3,SRSF3,6428,conserved gene and region in mouse and human,SRSF3_threeUTR,3' UTR,17,29039864.0,Srsf3
658,cg22100382,0.0666342670599637,2,147512452,ACVR2A,ACVR2A,92,"mapped in human, not mapped in mouse",ACVR2A_Intergenic_upstream,Distal Intergenic,2,48481565.0,Gm13472
103,cg04087693,0.0665357525578941,6,50718303,TFAP2D,TFAP2D,83741,"mapped in human, not mapped in mouse",TFAP2D_Intron,"Intron (ENST00000008391.3/83741, intron 2 of 7)",1,19107490.0,Tfap2d
732,cg24952195,0.0658565741696866,3,18356048,SATB1,SATB1,6304,conserved gene but different region in human and mouse,SATB1_Intron,"Intron (ENST00000414318.2/9779, intron 1 of 8)",17,51746925.0,Satb1
147,cg05575054,0.0656710638885492,10,114045209,ADRB1,ADRB1,153,conserved gene and region in mouse and human,ADRB1_Exon,"Exon (ENST00000369295.4/153, exon 1 of 1)",19,56723415.0,Adrb1
