index_x,var_x,beta_clock2,CHR_x,bp_hg38_x,Gene,Gene.hg19_x,ENTREZID_x,conservationInMouse_x,GeneRegionID_x,annotation_x,CHR_mm10_x,bp_mm10_x,Gene_mm10_x,index_y,var_y,beta_clock3,CHR_y,bp_hg38_y,Gene.hg19_y,ENTREZID_y,conservationInMouse_y,GeneRegionID_y,annotation_y,CHR_mm10_y,bp_mm10_y,Gene_mm10_y
687,cg23089474,0.358361489808373,5,142357056,SPRY4-AS1,SPRY4,101926941,mapped to different gene in human and mouse,SPRY4-AS1_Intron,"Intron (ENST00000510311.5/101926941, intron 3 of 3)",18,38631673.0,Spry4,592,cg23089474,0.57092581994314,5,142357056,SPRY4,101926941,mapped to different gene in human and mouse,SPRY4-AS1_Intron,"Intron (ENST00000510311.5/101926941, intron 3 of 3)",18,38631673.0,Spry4
186,cg06878766,0.33664766390913,8,56210721,PLAG1,PLAG1,5324,conserved gene and region in mouse and human,PLAG1_Promoter,Promoter (<=1kb),4,3937818.0,Plag1,356,cg22146484,-0.639734589547945,8,56211303,PLAG1,5324,"mapped in human, not mapped in mouse",PLAG1_Exon,Promoter (<=1kb),4,3938396.0,Plag1
252,cg09200783,0.307782123700394,14,56590439,TMEM260,TMEM260,54916,conserved gene and region in mouse and human,TMEM260_Intron,"Intron (ENST00000556422.5/54916, intron 3 of 14)",14,48456488.0,Tmem260,403,cg09200783,0.725379251493346,14,56590439,TMEM260,54916,conserved gene and region in mouse and human,TMEM260_Intron,"Intron (ENST00000556422.5/54916, intron 3 of 14)",14,48456488.0,Tmem260
383,cg13058338,0.302281469151606,12,54173598,SMUG1,SMUG1,23583,mapped to different gene in human and mouse,SMUG1_Intron,"Intron (ENST00000635234.1/23583, intron 2 of 4)",15,103146996.0,Smug1,665,cg13058338,0.204865933573767,12,54173598,SMUG1,23583,mapped to different gene in human and mouse,SMUG1_Intron,"Intron (ENST00000635234.1/23583, intron 2 of 4)",15,103146996.0,Smug1
685,cg23087015,0.294324742347268,15,72319625,CELF6,CELF6,60677,"mapped in human, not mapped in mouse",CELF6_threeUTR,Promoter (<=1kb),9,59578626.0,Celf6,107,cg23087015,0.690743560734564,15,72319625,CELF6,60677,"mapped in human, not mapped in mouse",CELF6_threeUTR,Promoter (<=1kb),9,59578626.0,Celf6
407,cg13916600,0.284185934753617,17,81395342,BAHCC1,BAHCC1,57597,conserved gene and region in mouse and human,BAHCC1_Promoter,Promoter (<=1kb),11,120232814.0,Bahcc1,214,cg13916600,0.205651802668648,17,81395342,BAHCC1,57597,conserved gene and region in mouse and human,BAHCC1_Promoter,Promoter (<=1kb),11,120232814.0,Bahcc1
32,cg01150494,0.262796867307068,12,119718845,CIT,CIT,11113,conserved gene but different region in human and mouse,CIT_Exon,"Exon (ENST00000261833.11/11113, exon 30 of 47)",5,115981665.0,Cit,95,cg01150494,0.575928417716582,12,119718845,CIT,11113,conserved gene but different region in human and mouse,CIT_Exon,"Exon (ENST00000261833.11/11113, exon 30 of 47)",5,115981665.0,Cit
308,cg11084334,0.260997205640501,3,9552580,LHFPL4,LHFPL4,375323,"mapped in human, not mapped in mouse",LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113194124.0,Lhfpl4,122,cg11084334,0.475738407873118,3,9552580,LHFPL4,375323,"mapped in human, not mapped in mouse",LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113194124.0,Lhfpl4
14,cg00489428,0.259347447500219,17,28759267,FAM222B,FAM222B,55731,"mapped in human, not mapped in mouse",FAM222B_threeUTR,3' UTR,11,78154305.0,Fam222b,644,cg00489428,0.451606301790843,17,28759267,FAM222B,55731,"mapped in human, not mapped in mouse",FAM222B_threeUTR,3' UTR,11,78154305.0,Fam222b
615,cg20370622,0.250081581322736,4,41748222,PHOX2B,PHOX2B,8929,conserved gene and region in mouse and human,PHOX2B_Promoter,Promoter (<=1kb),5,67098553.0,Phox2b,6,cg20370622,0.549191100334556,4,41748222,PHOX2B,8929,conserved gene and region in mouse and human,PHOX2B_Promoter,Promoter (<=1kb),5,67098553.0,Phox2b
49,cg01594275,0.247994017343656,22,41160539,EP300,EP300,2033,conserved gene and region in mouse and human,EP300_Intron,"Intron (ENST00000263253.9/2033, intron 19 of 30)",15,81633901.0,Ep300,548,cg01594275,0.902701811191423,22,41160539,EP300,2033,conserved gene and region in mouse and human,EP300_Intron,"Intron (ENST00000263253.9/2033, intron 19 of 30)",15,81633901.0,Ep300
317,cg11275232,0.232830979748722,14,66985695,GPHN,GPHN,10243,conserved gene and region in mouse and human,GPHN_Exon,"Exon (ENST00000543237.5/10243, exon 10 of 25)",12,78522911.0,Gphn,405,cg11275232,0.635985702712684,14,66985695,GPHN,10243,conserved gene and region in mouse and human,GPHN_Exon,"Exon (ENST00000543237.5/10243, exon 10 of 25)",12,78522911.0,Gphn
450,cg15168457,0.230283184697931,12,111516347,ATXN2,ATXN2,6311,conserved gene and region in mouse and human,ATXN2_Exon,"Exon (ENST00000642389.2/6311, exon 10 of 27)",5,121781348.0,Atxn2,5,cg15168457,0.76623411519073,12,111516347,ATXN2,6311,conserved gene and region in mouse and human,ATXN2_Exon,"Exon (ENST00000642389.2/6311, exon 10 of 27)",5,121781348.0,Atxn2
711,cg23985931,0.220942669581645,13,78594976,OBI1-AS1,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378.0,Pou4f1,146,cg23985931,0.159317241256797,13,78594976,OBI1-AS1,100874222,mapped to different gene in human and mouse,OBI1-AS1_Intron,"Intron (ENST00000607205.5/100874222, intron 2 of 3)",14,104459378.0,Pou4f1
813,cg27430422,0.211649229902328,17,35824152,TAF15,TAF15,8148,conserved gene and region in mouse and human,TAF15_Exon,"Exon (ENST00000604879.5/8148, exon 7 of 10)",11,83488999.0,Taf15,600,cg27430422,0.503727168189155,17,35824152,TAF15,8148,conserved gene and region in mouse and human,TAF15_Exon,"Exon (ENST00000604879.5/8148, exon 7 of 10)",11,83488999.0,Taf15
199,cg07332354,0.210602176864326,5,88883996,MEF2C-AS1,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Promoter,Promoter (<=1kb),13,83524027.0,Mef2c,359,cg07332354,0.0415085270940378,5,88883996,MEF2C,101929423,mapped to different gene in human and mouse,MEF2C-AS1_Promoter,Promoter (<=1kb),13,83524027.0,Mef2c
215,cg07991826,0.210256274092165,1,155268734,CLK2,CLK2,1196,mapped to different gene in human and mouse,CLK2_Exon,"Exon (ENST00000361168.9/1196, exon 4 of 13)",3,89169627.0,Clk2,38,cg07991826,0.585346755963854,1,155268734,CLK2,1196,mapped to different gene in human and mouse,CLK2_Exon,"Exon (ENST00000361168.9/1196, exon 4 of 13)",3,89169627.0,Clk2
771,cg26067250,0.202248113738094,2,172085721,DLX1,DLX1,1745,mapped to different gene in human and mouse,DLX1_Exon,Promoter (<=1kb),2,71530037.0,Dlx1,380,cg02007453,-0.0425905821321668,2,172085716,DLX1,1745,mapped to different gene in human and mouse,DLX1_Exon,Promoter (<=1kb),2,71530032.0,Dlx1
588,cg19604874,0.201724220325045,4,30920159,PCDH7,PCDH7,5099,conserved gene but different region in human and mouse,PCDH7_Exon,"Exon (ENST00000511884.6/5099, exon 2 of 3)",5,57913162.0,Pcdh7,740,cg19604874,0.304835722017549,4,30920159,PCDH7,5099,conserved gene but different region in human and mouse,PCDH7_Exon,"Exon (ENST00000511884.6/5099, exon 2 of 3)",5,57913162.0,Pcdh7
60,cg02177464,0.192402722229318,2,159453749,BAZ2B,BAZ2B,29994,"mapped in human, not mapped in mouse",BAZ2B_Exon,"Exon (ENST00000392783.7/29994, exon 4 of 37)",2,59983918.0,Baz2b,381,cg02177464,0.330015991542837,2,159453749,BAZ2B,29994,"mapped in human, not mapped in mouse",BAZ2B_Exon,"Exon (ENST00000392783.7/29994, exon 4 of 37)",2,59983918.0,Baz2b
210,cg07875786,0.182469108109961,5,93583221,NR2F1,NR2F1,7025,mapped to different gene in human and mouse,NR2F1_fiveUTR,Promoter (<=1kb),13,78200391.0,Nr2f1,707,cg07875786,0.493942107409069,5,93583221,NR2F1,7025,mapped to different gene in human and mouse,NR2F1_fiveUTR,Promoter (<=1kb),13,78200391.0,Nr2f1
752,cg25622623,0.180929739828,17,61399779,LOC101927855,TBX2,101927855,mapped to different gene in human and mouse,LOC101927855_Promoter,Promoter (<=1kb),11,85832704.0,Tbx2,76,cg25622623,0.111890055666708,17,61399779,TBX2,101927855,mapped to different gene in human and mouse,LOC101927855_Promoter,Promoter (<=1kb),11,85832704.0,Tbx2
725,cg24597392,0.180382832568401,22,35768289,RBFOX2,RBFOX2,23543,conserved gene and region in mouse and human,RBFOX2_Exon,"Exon (ENST00000405409.6/23543, exon 5 of 12)",15,77105657.0,Rbfox2,441,cg24597392,0.261008912853576,22,35768289,RBFOX2,23543,conserved gene and region in mouse and human,RBFOX2_Exon,"Exon (ENST00000405409.6/23543, exon 5 of 12)",15,77105657.0,Rbfox2
362,cg12685265,0.178520638674461,7,105015676,KMT2E,KMT2E,55904,conserved gene and region in mouse and human,KMT2E_Intron,"Intron (ENST00000257745.8/55904, intron 1 of 25)",5,23435902.0,Kmt2e,206,cg12685265,0.716542527061562,7,105015676,KMT2E,55904,conserved gene and region in mouse and human,KMT2E_Intron,"Intron (ENST00000257745.8/55904, intron 1 of 25)",5,23435902.0,Kmt2e
653,cg21907062,0.178163951876331,2,174081061,OLA1,OLA1,29789,conserved gene but different region in human and mouse,OLA1_Exon,"Exon (ENST00000462000.1/29789, exon 4 of 4)",2,73099201.0,Ola1,479,cg11355954,0.178453330302977,2,174081855,OLA1,29789,conserved gene and region in mouse and human,OLA1_Intron,"Intron (ENST00000284719.8/29789, intron 8 of 10)",2,73100005.0,Ola1
403,cg13802785,0.175239886990231,16,31186802,FUS,FUS,2521,conserved gene and region in mouse and human,FUS_Exon,"Exon (ENST00000254108.11/2521, exon 7 of 15)",7,127974400.0,Fus,417,cg13802785,0.002726464663464,16,31186802,FUS,2521,conserved gene and region in mouse and human,FUS_Exon,"Exon (ENST00000254108.11/2521, exon 7 of 15)",7,127974400.0,Fus
119,cg04787747,0.170493799534567,21,33576435,DONSON,DONSON,29980,mapped to different gene in human and mouse,DONSON_threeUTR,3' UTR,16,91678171.0,Donson,544,cg04787747,0.395064496432023,21,33576435,DONSON,29980,mapped to different gene in human and mouse,DONSON_threeUTR,3' UTR,16,91678171.0,Donson
617,cg20424997,0.165044824467179,16,58588863,CNOT1,CNOT1,23019,"mapped in human, not mapped in mouse",CNOT1_Exon,"Exon (ENST00000317147.10/23019, exon 3 of 49)",8,95775343.0,Cnot1,611,cg20424997,0.731503701672027,16,58588863,CNOT1,23019,"mapped in human, not mapped in mouse",CNOT1_Exon,"Exon (ENST00000317147.10/23019, exon 3 of 49)",8,95775343.0,Cnot1
699,cg23415880,0.154549033373989,13,27792287,GSX1,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486.0,Gsx1,145,cg23415880,0.0335102488749143,13,27792287,GSX1,219409,conserved gene and region in mouse and human,GSX1_Promoter,Promoter (<=1kb),5,147188486.0,Gsx1
230,cg08538268,0.152393804635705,9,23765097,ELAVL2,ELAVL2,1993,conserved gene and region in mouse and human,ELAVL2_fiveUTR,5' UTR,4,91311661.0,Elavl2,484,cg08538268,0.39830131657843,9,23765097,ELAVL2,1993,conserved gene and region in mouse and human,ELAVL2_fiveUTR,5' UTR,4,91311661.0,Elavl2
67,cg02456804,0.151081425179359,1,166070621,FAM78B,FAM78B,149297,conserved gene and region in mouse and human,FAM78B_Exon,"Exon (ENST00000435676.2/149297, exon 2 of 3)",1,167078678.0,Fam78b,37,cg07727941,-0.0890304367108763,1,166166176,FAM78B,149297,conserved gene and region in mouse and human,FAM78B_Exon,Promoter (<=1kb),1,167001637.0,Fam78b
332,cg11700079,0.15026649068966,5,171310377,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_Exon,"Exon (ENST00000296921.6/30012, exon 2 of 3)",11,33202444.0,Tlx3,14,cg11700079,0.358728283447903,5,171310377,TLX3,30012,conserved gene and region in mouse and human,TLX3_Exon,"Exon (ENST00000296921.6/30012, exon 2 of 3)",11,33202444.0,Tlx3
68,cg02532525,0.149617321274568,17,2050353,MIR212,MIR212,406994,mapped to different gene in human and mouse,MIR212_Exon,Promoter (<=1kb),11,75173399.0,Hic1,574,cg02532525,0.645200863534836,17,2050353,MIR212,406994,mapped to different gene in human and mouse,MIR212_Exon,Promoter (<=1kb),11,75173399.0,Hic1
118,cg04725401,0.144229417364394,11,65344604,DPF2,DPF2,5977,conserved gene and region in mouse and human,DPF2_Exon,"Exon (ENST00000530993.5/5977, exon 6 of 7)",19,5903747.0,Dpf2,450,cg04725401,0.165054017800556,11,65344604,DPF2,5977,conserved gene and region in mouse and human,DPF2_Exon,"Exon (ENST00000530993.5/5977, exon 6 of 7)",19,5903747.0,Dpf2
618,cg20432508,0.137178143579727,5,66162474,SREK1,SREK1,140890,mapped to different gene in human and mouse,SREK1_threeUTR,3' UTR,13,103760533.0,Srek1,684,cg20432508,0.372522727122856,5,66162474,SREK1,140890,mapped to different gene in human and mouse,SREK1_threeUTR,3' UTR,13,103760533.0,Srek1
218,cg08040307,0.135160024019068,1,77633377,ZZZ3,ZZZ3,26009,conserved gene and region in mouse and human,ZZZ3_fiveUTR,5' UTR,3,152427304.0,Zzz3,286,cg08040307,0.435126201642582,1,77633377,ZZZ3,26009,conserved gene and region in mouse and human,ZZZ3_fiveUTR,5' UTR,3,152427304.0,Zzz3
275,cg09817427,0.12980860733432,6,84764595,TBX18,TBX18,9096,"mapped in human, not mapped in mouse",TBX18_fiveUTR,Promoter (<=1kb),9,87731262.0,Tbx18,136,cg09817427,0.516067401238891,6,84764595,TBX18,9096,"mapped in human, not mapped in mouse",TBX18_fiveUTR,Promoter (<=1kb),9,87731262.0,Tbx18
456,cg15340018,0.127472116584513,16,71756157,AP1G1,AP1G1,164,"mapped in human, not mapped in mouse",AP1G1_threeUTR,3' UTR,8,109843354.0,Ap1g1,419,cg15340018,0.264567727540759,16,71756157,AP1G1,164,"mapped in human, not mapped in mouse",AP1G1_threeUTR,3' UTR,8,109843354.0,Ap1g1
427,cg14517144,0.126461345298958,10,68338663,HNRNPH3,HNRNPH3,3189,"mapped in human, not mapped in mouse",HNRNPH3_Exon,"Exon (ENST00000469172.5/3189, exon 2 of 8)",10,63018064.0,Hnrnph3,232,cg14517144,0.438544954838271,10,68338663,HNRNPH3,3189,"mapped in human, not mapped in mouse",HNRNPH3_Exon,"Exon (ENST00000469172.5/3189, exon 2 of 8)",10,63018064.0,Hnrnph3
353,cg12449245,0.124086525869747,14,72619953,DPF3,DPF3,8110,conserved gene and region in mouse and human,DPF3_Exon,"Exon (ENST00000556509.5/8110, exon 10 of 11)",12,83216378.0,Dpf3,744,cg12449245,0.137090625873404,14,72619953,DPF3,8110,conserved gene and region in mouse and human,DPF3_Exon,"Exon (ENST00000556509.5/8110, exon 10 of 11)",12,83216378.0,Dpf3
42,cg01429475,0.119481690758271,10,101451718,BTRC,BTRC,8945,conserved gene but different region in human and mouse,BTRC_Intron,"Intron (ENST00000393441.8/8945, intron 2 of 13)",19,45446662.0,Btrc,514,cg12314723,-0.166203229825238,10,101430403,BTRC,8945,conserved gene and region in mouse and human,BTRC_Exon,"Exon (ENST00000393441.8/8945, exon 2 of 14)",19,45423191.0,Btrc
122,cg04889095,0.1168387669204,12,8773554,RIMKLB,RIMKLB,57494,conserved gene and region in mouse and human,RIMKLB_Exon,"Exon (ENST00000357529.7/57494, exon 7 of 7)",6,122456429.0,Rimklb,19,cg04889095,0.222007631268611,12,8773554,RIMKLB,57494,conserved gene and region in mouse and human,RIMKLB_Exon,"Exon (ENST00000357529.7/57494, exon 7 of 7)",6,122456429.0,Rimklb
371,cg12830057,0.111197139751473,3,69879222,MITF,MITF,4286,"mapped in human, not mapped in mouse",MITF_Exon,"Exon (ENST00000352241.8/4286, exon 2 of 10)",6,97941141.0,Mitf,748,cg12830057,0.435922245194697,3,69879222,MITF,4286,"mapped in human, not mapped in mouse",MITF_Exon,"Exon (ENST00000352241.8/4286, exon 2 of 10)",6,97941141.0,Mitf
100,cg03942000,0.110069982572748,9,128393488,MIR219A2,MIR219A2,407003,conserved gene but different region in human and mouse,MIR219A2_Exon,Promoter (<=1kb),2,29846471.0,Urm1,327,cg03942000,0.426064339228351,9,128393488,MIR219A2,407003,conserved gene but different region in human and mouse,MIR219A2_Exon,Promoter (<=1kb),2,29846471.0,Urm1
58,cg02040024,0.109016144279386,8,22691369,EGR3,EGR3,1960,"mapped in human, not mapped in mouse",EGR3_threeUTR,3' UTR,14,70079008.0,Egr3,414,cg18502834,-0.171486824746563,8,22692929,EGR3,1960,conserved gene but different region in human and mouse,EGR3_Exon,Promoter (<=1kb),14,70077459.0,Egr3
640,cg21351544,0.108055522727482,6,149369995,TAB2,TAB2,23118,conserved gene and region in mouse and human,TAB2_fiveUTR,5' UTR,10,7924788.0,Tab2,476,cg21351544,0.453299203172929,6,149369995,TAB2,23118,conserved gene and region in mouse and human,TAB2_fiveUTR,5' UTR,10,7924788.0,Tab2
315,cg11235379,0.107546722126677,2,161417813,TBR1,TBR1,10716,"mapped in human, not mapped in mouse",TBR1_Exon,"Exon (ENST00000389554.8/10716, exon 2 of 6)",2,61806111.0,Tbr1,80,cg00535482,-0.151438496073004,2,161415802,TBR1,10716,conserved gene but different region in human and mouse,TBR1_Promoter,Promoter (<=1kb),2,61804104.0,Tbr1
17,cg00643485,0.10615046750423,2,55303112,CCDC88A,CCDC88A,55704,conserved gene but different region in human and mouse,CCDC88A_threeUTR,3' UTR,11,29497382.0,Ccdc88a,642,cg00643485,0.204136300156518,2,55303112,CCDC88A,55704,conserved gene but different region in human and mouse,CCDC88A_threeUTR,3' UTR,11,29497382.0,Ccdc88a
293,cg10609096,0.105603584943269,3,138245202,ARMC8,ARMC8,25852,conserved gene but different region in human and mouse,ARMC8_threeUTR,3' UTR,9,99520467.0,Armc8,386,cg10609096,0.748360398545643,3,138245202,ARMC8,25852,conserved gene but different region in human and mouse,ARMC8_threeUTR,3' UTR,9,99520467.0,Armc8
506,cg16867657,0.103939540396192,6,11044644,ELOVL2-AS1,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,,66,cg16867657,0.0937017295205689,6,11044644,ELOVL2-AS1,100506409,"mapped in human, not mapped in mouse",ELOVL2-AS1_Exon,"Exon (ENST00000607275.6/100506409, exon 1 of 3)",,,
577,cg19319735,0.0995611526655703,7,5423744,TNRC18,TNRC18,84629,conserved gene but different region in human and mouse,TNRC18_Intron,"Intron (ENST00000399434.2/84629, intron 1 of 2)",5,142817572.0,Tnrc18,368,cg19319735,0.167872734894157,7,5423744,TNRC18,84629,conserved gene but different region in human and mouse,TNRC18_Intron,"Intron (ENST00000399434.2/84629, intron 1 of 2)",5,142817572.0,Tnrc18
328,cg11664765,0.098578016312573,4,182601068,TENM3,TENM3,55714,conserved gene but different region in human and mouse,TENM3_Exon,"Exon (ENST00000511685.6/55714, exon 4 of 28)",8,48417100.0,Tenm3,75,cg11664765,0.380126654338487,4,182601068,TENM3,55714,conserved gene but different region in human and mouse,TENM3_Exon,"Exon (ENST00000511685.6/55714, exon 4 of 28)",8,48417100.0,Tenm3
201,cg07423797,0.0980459533857293,22,43262719,SCUBE1,SCUBE1,80274,conserved gene and region in mouse and human,SCUBE1_Exon,"Exon (ENST00000360835.9/80274, exon 5 of 22)",15,83659025.0,Scube1,60,cg07423797,0.102672185257971,22,43262719,SCUBE1,80274,conserved gene and region in mouse and human,SCUBE1_Exon,"Exon (ENST00000360835.9/80274, exon 5 of 22)",15,83659025.0,Scube1
35,cg01224972,0.0956093573393333,6,108280569,AFG1L,AFG1L,246269,conserved gene but different region in human and mouse,AFG1L_Intergenic_upstream,Distal Intergenic,10,42487106.0,Afg1l,712,cg01224972,0.0923102930733965,6,108280569,AFG1L,246269,conserved gene but different region in human and mouse,AFG1L_Intergenic_upstream,Distal Intergenic,10,42487106.0,Afg1l
501,cg16745091,0.0944617878335672,2,121418657,CLASP1,CLASP1,23332,conserved gene and region in mouse and human,CLASP1_Exon,"Exon (ENST00000646274.1/23332, exon 22 of 39)",1,118532049.0,Clasp1,198,cg16745091,0.258721627970817,2,121418657,CLASP1,23332,conserved gene and region in mouse and human,CLASP1_Exon,"Exon (ENST00000646274.1/23332, exon 22 of 39)",1,118532049.0,Clasp1
625,cg20635820,0.0934411183979368,11,85662429,CREBZF,CREBZF,58487,conserved gene and region in mouse and human,CREBZF_threeUTR,3' UTR,7,90445452.0,Crebzf,241,cg20635820,0.184078903131494,11,85662429,CREBZF,58487,conserved gene and region in mouse and human,CREBZF_threeUTR,3' UTR,7,90445452.0,Crebzf
576,cg19296935,0.0900432438009147,7,50180223,ZPBP,SPATA48,11055,mapped to different gene in human and mouse,ZPBP_Intergenic_upstream,Distal Intergenic,11,11528304.0,Spata48,367,cg19296935,0.283938189096116,7,50180223,SPATA48,11055,mapped to different gene in human and mouse,ZPBP_Intergenic_upstream,Distal Intergenic,11,11528304.0,Spata48
360,cg12642246,0.0858367477146501,17,47982387,CDK5RAP3,CDK5RAP3,80279,conserved gene but different region in human and mouse,CDK5RAP3_Intron,"Intron (ENST00000578239.1/ENST00000578239.1, intron 1 of 1)",11,96907193.0,Cdk5rap3,213,cg12642246,0.108514540484579,17,47982387,CDK5RAP3,80279,conserved gene but different region in human and mouse,CDK5RAP3_Intron,"Intron (ENST00000578239.1/ENST00000578239.1, intron 1 of 1)",11,96907193.0,Cdk5rap3
514,cg17267107,0.0851233199393033,1,10669966,CASZ1,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 4 of 20)",4,148924608.0,Casz1,238,cg23778391,-0.301420661951112,1,10698402,CASZ1,54897,mapped to different gene in human and mouse,CASZ1_Intron,"Intron (ENST00000377022.8/54897, intron 3 of 20)",4,148897401.0,Casz1
41,cg01409964,0.0833110029774131,13,78998527,LINC00331,LINC00331,100874126,"mapped in human, not mapped in mouse",LINC00331_Intergenic_upstream,Distal Intergenic,14,104834630.0,Gm5671,532,cg01409964,0.214952074029995,13,78998527,LINC00331,100874126,"mapped in human, not mapped in mouse",LINC00331_Intergenic_upstream,Distal Intergenic,14,104834630.0,Gm5671
167,cg06156376,0.0802138754290149,3,158106025,RSRC1,SHOX2,51319,mapped to different gene in human and mouse,RSRC1_fiveUTR,Promoter (<=1kb),3,66981557.0,Rsrc1,240,cg06156376,0.0960035953071602,3,158106025,SHOX2,51319,mapped to different gene in human and mouse,RSRC1_fiveUTR,Promoter (<=1kb),3,66981557.0,Rsrc1
410,cg13953571,0.0797197907727984,15,70099807,TLE3,TLE3,7090,conserved gene and region in mouse and human,TLE3_Promoter,Promoter (1-2kb),9,61370524.0,Tle3,164,cg16554811,0.0582333305275105,15,70097877,TLE3,7090,conserved gene and region in mouse and human,TLE3_fiveUTR,Promoter (<=1kb),9,61372405.0,Tle3
204,cg07547549,0.0777400524527002,20,46029586,SLC12A5,SLC12A5,57468,"mapped in human, not mapped in mouse",SLC12A5_Intron,"Intron (ENST00000454036.6/57468, intron 1 of 25)",,,,53,cg14172937,-0.0757323896762218,20,46029210,SLC12A5,57468,conserved gene and region in mouse and human,SLC12A5_fiveUTR,5' UTR,2,164968267.0,Slc12a5
